张莉	北京天健中宇恒业工程咨询公司	图 8 ： 现场 损毁 后 的 挖机 图 9 ： 自卸车 正在 运输 燃烧 中 的 煤矸石 图 10 ： 大 粒径 石块 剥离 图 11 ： 机械 坡面 修复 本次 调研 由 住房 和 城乡 建设部 标准 定额 研究所 副研究员 董宇 、 中国 建设 工程 造价 管理 协会 主任 舒宇 、 中国 煤炭 建设 协会 秘书长 单益新 、 煤炭 工业 西安 工程 造价 管理站 副站长 杨振义 、 内蒙古 自治区 建设 工程 标准 定额 总站 站长 庞天 、 定额 科 科长 刘 银龙 、 山西省 工程 建设 标准 定额 站 总 工程师 	张莉 	、 工程师 王洋 、 中国 有色 金属 工业 工程 建设 定额 站 技术 总监 林发 、 乌海市 建设 工程 标准 定额 管理 站站 长白 继 凡 、 副站长 祝少 冬 、 	北京 天健中宇恒业 工程 咨询 公司 	副总经理 沙兵 等 同志 组成 专家 组 ， 对 乌海 矿区 生态 环境 综合 治理 项目 及 矿区 现状 进行 调研 ； 

利亚德	美的集团	另 据 证券 时报 ， 上周 兆易 创新 （ 603986 ） 、 	利亚德 	（ 300296 ） 、 	美的 集团 	（ 000333 ） 等 获得 超过 50 家 机构 扎堆 调研 

中国企业改革体制研究会	李锦	作为 中国 国有 企业 改革 调查 第一 人 ， 被 胡耀邦 、 邓小平 、 胡锦涛 等 国家 领导人 批示 国企 改革 调研 有 思考 的 	中国 企业 改革 体制 研究会 	副会长 	李锦 	指出 ： 国企 改革 ， 政府 改革 在先 ， 企业 改革 在后 ， 是 相辅相成 的 

中交集团	王海怀	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 孟华强 、 中广 核 办公厅 主任 胡光耀 、 铀业 公司 总经理 安军靖 、 斯科 公司 总经理 蔡于胜 、 	中 交 集团 	副总经理 	王海怀 	等一同 参加 调研 和 座谈 

春辉机械制造有限公司	鲁泰	调研组 先后 对 济宁市 中山 公用 水 务 有限 公司 、 济宁 落陵 	春辉 机械 制造 有限 公司 	、 	鲁泰 	控股 凯本 金威 特种 化学品 （ 济宁 ） 有限 公司 进行 了 调研 ， 听取 了 混合 所有制 改革 工作 情况 汇报 、 召开 了 座谈会 ， 对 生产 车间 进行 了 实地 走访 ， 了解 了 基层 干部 群众 的 反映 ， 在 推进 混合 所有制 过程 中 采取 的 措施 ， 取得 的 成效 ， 遇到 的 困难 ， 需要 提请 市 经济 体制 改革 专项 小组 解决 的 问题 等 

李成	粤海控股集团	为 认真 落实 省委 省政府 关于 打好 污染 防治 攻坚战 的 要求 ， 近日 ， 省 国资委 主任 、 党委 书记 	李成 	， 副主任 、 党委 委员 黄敦新 等 一行 调研 广业 集团 、 建工 集团 、 	粤海 控股 集团 	在 揭阳 、 汕头 地区 的 环保 基础 设施 建设 情况 ， 重点 调研 了 广业 集团 普宁 垃圾 焚烧 发电 项目 、 练 江 流域 整治 环保 工程 项目 

山东君润企业管理咨询有限公司	马恒艳	3月 25日 ， 省 国资委 综合 评价 组 组长 、 	山东 君润 企业 管理 咨询 有限 公司 	董事长 	马恒艳 	一行 到 东滩矿 调研 指导 工作 

鲁西集团	张金成	7月 14日 上午 ， 聊城市 国资委 副主任 韩春岐 ， 	鲁西 集团 	党委 书记 、 董事长 	张金成 	等一行 四 人 来 滨州市 国资委 考察 调研 

赵荣哲	西安设计公司	6月 18日 至 19日 ， 	赵荣哲 	同志 围绕 “ 双百 行动 ” 以及 财务 、 信息化 建设 等到 	西安 设计 公司 	调研 

中国三峡集团	寇伟	履新 半年 以来 ， 章 建华 已 先后 赴 国家 电网 、 中国 华能 、 	中国 三峡 集团 	等 电网 、 电力 央企 实地 调研 ， 与 	寇伟 	等 一把手 就 相关 问题 展开 了 深入 交流 与 探讨 ， 同时 也 与 陕西 、 广东 、 浙江 等 地方 政府 加强 了 沟通 与 交流 ， 勾勒 了 电力 改革 、 能源 发展 改革 的 新 路径 

张黎明	中唱集团公司	8月 17日 ， 中国 华录 集团 总经理 	张黎明 	等一行 赴 	中唱 集团 公司 	现场 调研 经营 工作 

张亚敏	四川省企业家协会	全国 工商联 副主席 、 四川省 政协 副主席 、 省 工商联 主席 陈放 先生 ， 中国 会展 经济 研究会 会长 袁再清 先生 ， 四川省 国资委 党委 委员 、 副主任 秦明 先生 ， 四川省 知识 产权局 副局长 杨早林 先生 ， 四川省 工商 行政 管理局 商标 分局 局长 周广平 先生 ， 四川省 发展 和 改革 委员会 调研员 	张亚敏 	女士 ， 四川省 经济 和 信息化 委员会 副 调研员 刘凯 先生 ， 省企联 特邀 副 会长 、 省政协 原 常委 、 省 农业厅 原 常务 副厅长 傅志康 先生 ， 省企联 特邀 副 会长 、 省政府 原 副秘书长 张晋川 先生 ， 省企联 顾问 、 省人大 常委会 法制 工作 委员会 原 主任 杨文 先生 ， 省企联 顾问 、 省 国 安厅 原 常务 副厅长 马方 元 先生 ， 省企联 顾问 、 省 国资委 原 副主任 李继郁 先生 ， 四川省 企业 联合会 、 	四川省 企业家 协会 	副会长 兼 秘书长 梁勤 先生 ， 四川省 质量 协会 驻 会 副会长 罗召贵 先生 等 领导 及 相关 政府 部门 负责人 出席 大会 

张海波	文旅集团	7月 22日 至 24日 ， 市委 副书记 、 市长 	张海波 	到 市 产 投 集团 、 城投 集团 、 	文 旅 集团 	调研 市属 国有 企业 改革 发展 工作 ， 与 企业 领导 班子 共同 探讨 改革 后 的 发展 路径 ， 要求 找准 定位 ， 突出 主业 ， 理清 思路 ， 整合 各 类 资源 ， 理顺 管理 机制 ， 推动 企业 做 强 做 优 做 精 ， 努力 在 加快 新旧 动能 转换 、 推动 精致 城市 建设 上 发挥 更大 作用 

马德利	日照市盐业公司	1月 16日 ， 日照市 国资委 党委 副书记 、 调研员 王雷 ， 副调研员 	马德利 	到 	日照市 盐业 公司 	召集 会议 ， 通报 盐业 改革 进展 情况 ， 安排 部署 当前 有关 工作 

建研科技股份公司高性能混凝土研究中心	周永祥	会议 由 建委 科技处 调研员 徐东林 主持 ， 中国 建筑 科学 研究院 顾问 副总工程师 赵 基达 ， 华夏 建宇 （ 北京 ） 混凝土 技术 研究院 院长 路 来 军 ， 中国 建筑 标准 设计 研究院 钢结构 所 所长 王喆 ， 中国 新兴 建设 开发 有限 责任 公司 副总工程师 李栋 ， 	建 研 科技 股份 公司 高 性能 混凝土 研究 中心 	主任 	周永祥 	等 审查 专家 出席 会议 

郝鹏	龙源电力南非可再生能源公司	作者 : 浏览 次数 ： 次 10月 14日 ， 国务院 国资委 主任 、 党委 副书记 	郝鹏 	到 	龙源 电力 南非 可 再生 能源 公司 	调研 ， 集团 党组 成员 、 副总经理 高嵩 陪同 调研 

李保军	嘉祥县山东中材大力专用汽车有限公司	7月 4日 ， 市 国资委 党委 书记 、 主任 丰家 雷 带领 济宁市 国有 资产 投资 控股 有限 公司 董事长 虢洪增 、 市惠达 投资 公司 总经理 	李保军 	等 相关 负责 同志 赴 	嘉祥 县 山东 中材 大力 专用 汽车 有限 公司 	进行 考察 调研 

王晓昀	建工集团	1月 18日 ， 省 国资委 副主任 	王晓昀 	到 粤 水电 承建 的 粤东 区域 重点 工程 练 江 流域 环保 整治 工程 项目 调研 ， 潮 南区 区委 常委 、 常务 副区长 王楚彬 、 总 承包 事业部 副总经理 胡顺彬 、 粤海 水 务 集团 总经理 谭奇峰 、 	建工 集团 	副总经理 黄瑛鹏 、 粤 水电 副总经理 王伟导 、 副总工程师 、 工程 管理部 经理 石爱军 及 工程 建设 公司 粤东 区域 重点 工程 项目 部 相关 人员 参加 调研 

中国企业联合会	刘兴国	 	中国 企业 联合会 	研究员 	刘兴国 	也 对 《 经济 参考 报 》 记者 表示 ， 当前 针对 民企 的 调研 就是 要 弄清 民间 投资 与 民企 发展 的 主要 障碍 ， 以便 后续 有 针对性 地 出台 政策 举措 

张宏永	太原贵金属公司	 	张宏永 	副主任 在 中海 油 	太原 贵 金属 公司 	入 企 服务 时 ， 及时 向 企业 传达 了 省委 省政府 有关 文件 精神 ， 对 产品 生产线 及 新 搬迁 厂区 进行 调研 检查 ， 要求 对 薄弱 环节 、 关键 岗位 进行 自查 ， 认真 梳理 风险 点 ， 坚决 防范 化解 各 类 重大 风险 

北勘公司	王海渤	公司 领导 到 石家庄 综合 保税区 标准化 仓库 建设 项目 检查 调研 工作 2018年 4月 25日 ， 	北勘 公司 	副总经理 陆洪根 、 生产 运 营部 主任 王永正 、 科技 质量 与 安全部 副主任 黄彬 、 科技 质量 与 安全部 张春辉 一行 四 人 到 石家庄 综合 保税区 标准化 保税 仓库 建设 项目 一 期 工程 进行 检查 调研 ， 第一 勘察 设计 研究所 副所长 	王海渤 	及 项目 人员 张晓畅 、 杜新鹏 陪同 并 做 详细 讲解 

三峡集团	乌兰察布	 	三峡 集团 	负责人 王良友 一行 来到 	乌兰察布 	， 调研 考察 并 洽谈 与 

张宪宝	波瑞公司	总经理 姜涛 、 监事会 主席 张文涛 、 副总经理 姬剑锷 、 副总经理 	张宪宝 	， 爱 	波瑞 公司 	董事长 王洪艳 、 总裁 王德强 等 领导 陪同 调研 和 座谈 

周旭	重庆缙融资本运营管理有限公司	记者 曾晓隆 2月 19日 ， 区委 书记 	周旭 	前往 	重庆 缙融 资本 运营 管理 有限 公司 	， 调研 督导 国企 改革 工作 ， 并 召开 座谈会 

郝鹏	空客天津总装公司	九 、 	郝鹏 	强调 中央 企业 要 履行 职责 使命 推动 企业 高 质量 发展 事件 ： 7月 24日 ， 国资委 主任 	空客 天津 总装 公司 	 

孟华强	铀业公司	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 	孟华强 	、 中广 核 办公厅 主任 胡光耀 、 	铀业 公司 	总经理 安军靖 、 斯科 公司 总经理 蔡于胜 、 中 交 集团 副总经理 王海怀 等 一同 参加 调研 和 座谈 

薛占海	炼化公司	6月 12日 ， 根据 第十七 次 陕北 高端 能源 化工 基地 建设 座谈会 会议 议程 安排 ， 陕西省 副省长 方光华 、 延安市 市长 	薛占海 	， 调研 延长 石油 	炼化 公司 	延长 油田 伴生气 资源 利用 项目 建设 情况 ， 延长县 相关 领导 ， 延长 石油 集团 公司 总 工程师 扈广法 ， 

光照宇	平凉祁连山水泥有限公司	本 网 讯 11月 14日 上午 ， 中国 建材 集团 总经理 曹江林 、 党委 副书记 孙力 实 、 董事会 秘书 、 总经理 助理 	光照宇 	一行 莅临 	平凉 祁连山 水泥 有限 公司 	调研 指导 工作 

傅志康	四川省企业家协会	全国 工商联 副主席 、 四川省 政协 副主席 、 省 工商联 主席 陈放 先生 ， 中国 会展 经济 研究会 会长 袁再清 先生 ， 四川省 国资委 党委 委员 、 副主任 秦明 先生 ， 四川省 知识 产权局 副局长 杨早林 先生 ， 四川省 工商 行政 管理局 商标 分局 局长 周广平 先生 ， 四川省 发展 和 改革 委员会 调研员 张亚敏 女士 ， 四川省 经济 和 信息化 委员会 副 调研员 刘凯 先生 ， 省企联 特邀 副 会长 、 省政协 原 常委 、 省 农业厅 原 常务 副厅长 	傅志康 	先生 ， 省企联 特邀 副 会长 、 省政府 原 副秘书长 张晋川 先生 ， 省企联 顾问 、 省人大 常委会 法制 工作 委员会 原 主任 杨文 先生 ， 省企联 顾问 、 省 国 安厅 原 常务 副厅长 马方 元 先生 ， 省企联 顾问 、 省 国资委 原 副主任 李继郁 先生 ， 四川省 企业 联合会 、 	四川省 企业家 协会 	副会长 兼 秘书长 梁勤 先生 ， 四川省 质量 协会 驻 会 副会长 罗召贵 先生 等 领导 及 相关 政府 部门 负责人 出席 大会 

郑剑戈	广业集团	汕头市 市长 	郑剑戈 	、 副市长 陈武南 ， 潮 南区 、 潮阳 区区 委 区政府 主要 领导 、 区 相关 部门 ， 省 国资委 规划 发展 处 、 考核 分配处 ， 建工 集团 、 	广业 集团 	、 粤海 集团 等 相关 单位 参加 调研 

郝鹏	东航集团	8月 15日 ， 国务院 国资委 党委 书记 、 主任 	郝鹏 	赴 北京 大兴 国际 机场 开展 专题 调研 ， 实地 调研 了 	东航 集团 	、 南航 集团 等 中央 企业 在 基地 工程 建设 、 运营 筹备 工作 进展 等 方面 的 情况 

乔登	邢台水业集团有限公司	为 切实 抓好 中央 、 省委 巡视 巡查 反馈 意见 的 整改 落实 工作 ， 1月 18日 ， 市 国资委 调研员 	乔登 	选 、 市 纪委 派驻市 国资委 纪检组 副 组织 长 李学键 等 4 人 组成 检查组 ， 对 中国 电信 邢台 分公司 、 	邢台 水业 集团 有限 公司 	等 5 家 企业 开展 检查 

周向鸿	通辽市水务建设投资集团有限公司	为 认真 做好 全 市 国企 党建 推进会 顺利 召开 ， 8月 2日 上午 ， 通辽 市委 组织部 组织 三 科科 长曲 向前 和 通辽市 国资委 党委 委员 	周向鸿 	同志 等 一行 6 人 ， 到 	通辽市 水务 建设 投资 集团 有限 公司 	对 推进会 前 期 准备 工作 进行 调研 指导 

郝鹏	中国建材凯盛君恒公司	 	郝鹏 	一行 深入 魏县 仕望集乡 崔阁 村 、 平乡县 油召乡 马 第二 疃村 ， 走访 看望 贫困 户 ， 调研 国资委 党费 支持 的 村支部 活动室 建设 情况 ， 了解 	中国 建材 凯盛 君 恒 公司 	和 中央 企业 贫困 地区 产业 投资 基金 投资 的 河北 欧 耐 模具 公司 生产 经营 、 解决 当地 就业 等 情况 

中国铁建地产集团	马建军	在 采访 调研 期间 ， 	中国 铁建 地产 集团 	副总经理 、 华东 公司 执行 董事 	马建军 	接受 了 中国 网 财经 等 媒体 记者 的 采访 

兰州助剂厂有限公司	张小燕	这 是 近日 甘肃省 纪委 监委 派驻省 国资委 纪检 监察组 第一 调研组 与 	兰州 助剂 厂 有限 公司 	财务 总监 	张小燕 	的 调研 谈话 内容 

崔跃民	陕药集团	3月 21日 至 22日 ， 省 国资委 党委 副书记 、 主任 任国 、 副主任 孙喜民 、 省工 信 厅 总 工程师 	崔跃民 	等一行 带着 振兴 陕西 医药 产业 的 命题 赴 	陕 药 集团 	开展 了 为期 两 天 的 调研 活动 ， 

曲	通辽市水务建设投资集团有限公司	为 认真 做好 全 市 国企 党建 推进会 顺利 召开 ， 8月 2日 上午 ， 通辽 市委 组织部 组织 三 科 科长 	曲 	向前 和 通辽市 国资委 党委 委员 周向鸿 同志 等 一行 6 人 ， 到 	通辽市 水务 建设 投资 集团 有限 公司 	对 推进会 前 期 准备 工作 进行 调研 指导 

林庆苗	中国有色集团	国务院 国资委 宣传局 局长 夏庆丰 、 改革 局 副局长 	林庆苗 	参加 调研 ， 并对 	中国 有色 集团 	深化 改革 、 加强 宣传 等 工作 提出 了 意见 和 要求 

任国	陕药集团	3月 21日 至 22日 ， 省 国资委 党委 副书记 、 主任 	任国 	、 副主任 孙喜民 、 省工 信 厅 总 工程师 崔跃民 等 一行 带着 振兴 陕西 医药 产业 的 命题 赴 	陕 药 集团 	开展 了 为期 两 天 的 调研 活动 ， 

石油炼化公司	张浩文	6月 12日 ， 根据 第十七 次 陕北 高端 能源 化工 基地 建设 座谈会 会议 议程 安排 ， 陕西省 副省长 方光华 、 延安市 市长 薛占海 ， 调研 延长 	石油 炼化 公司 	延长 油田 伴生气 资源 利用 项目 建设 情况 ， 延长县 相关 领导 ， 延长 石油 集团 公司 总 工程师 扈广法 ， 炼化 公司 总经理 李军 ， 总 工程师 	张浩文 	等 领导 陪同 调研 

中国建材集团党委	曹江林	国资委 秘书长 彭华岗 ， 浙江 省政府 副秘书长 高屹 ， 	中国 建材 集团 党委 	副书记 、 副董事长 刘志江 ， 中国 建材 集团 总经理 、 中国 巨石 董事长 	曹江林 	， 中国 建材 集团 副总经理 常 张 利 ， 中国 建材 集团 董事会 秘书 、 总经理 助理 光照宇 ， 中国 建材 股份 副总裁 蔡国斌 等 陪同 调研 

郝鹏	天津中车机辆装备有限公司	九 、 	郝鹏 	强调 中央 企业 要 履行 职责 使命 推动 企业 高 质量 发展 事件 ： 7月 24日 ， 国资委 主任 	天津 中车 机辆 装备 有限 公司 	 

中国建材集团	李	 	中国 建材 集团 	党委 书记 、 董事长 宋志平 ， 安徽省 国资委 党委 书记 、 主任 	李 	中 陪同 调研 

中国建材集团	朱兵	国务院 国资委 改革 办 巡视员 尹义省 、 改革 局 副局长 林庆苗 、 国资委 改革 办 央企 组 处长 李鹏飞 ， 合肥市 领导 宁波 、 罗平 ， 	中国 建材 集团 	副董事长 李新华 、 副总经理 常 张 利 、 董事会 秘书 、 总经理 助理 光照宇 ， 中国 建材 总院 副院长 、 总会计师 赵延敏 ， 合肥 院 党委 书记 周云峰 、 院长 	朱兵 	等 相关 领导 参加 了 调研 

中丝集团	徐念沙	据 	中 丝 集团 	官网 消息 ， 今年 6月 5日 至 12日 ， 保利 集团 董事长 	徐念沙 	， 保利 集团 副总经理 、 

国务院国有企业改革领导小组办公室	翁杰明	4月 11日 ， 	国务院 国有 企业 改革 领导 小组 办公室 	副主任 、 国务院 国资委 副主任 	翁杰明 	一行 到 中国 有色 集团 调研 

苏全喜	内蒙古诚裕信工程项目管理有限公司	神华 乌海 能源 有限 责任 公司 工程 管理部 经理 	苏全喜 	、 	内蒙古 诚裕 信 工程 项目 管理 有限 公司 	董事长 庞有国 、 副总经理 雷军 受邀 参加 调研 

川航集团	陈斌	 	川航 集团 	党委 书记 、 董事长 李海鹰 ， 省 国资委 副主任 薛东兵 ， 	陈斌 	 

章建华	中核集团	在 浙江 调研 期间 ， 	章 建华 	一行 深入 到 浙 能 集团 嘉华 电厂 、 	中核 集团 	秦山 核电 基地 等 能源 企业 一线 ， 实地 了解 能源 安全 保障 、 煤 电 超低 排放 改造 、 核电 生产 运行 等 情况 ， 认真 听取 企业 对 加快 电力 转型 升级 、 推动 能源 高 质量 发展 的 意见 建议 ， 并 就 深化 能源 体制 机制 改革 等 问题 与 有关 方面 进行 了 深入 讨论 

刘钢	九牛汽车股份有限公司	9月 18日 ， 随州 市政府 国资委 副 调研员 、 招商 分局 副局长 	刘钢 	会同 随 县 县委 常委 、 统战部 部长 黄宗超 ， 随 县 招商局 副局长 江明 等 赴 江西省 萍乡市 芦溪县 考察 	九 牛 汽车 股份 有限 公司 	， 宣传 推介 随州 ， 洽谈 合作 事宜 

薛东兵	四川通用航空投资管理有限责任公司	川航 集团 党委 书记 、 董事长 李海鹰 ， 省 国资委 副主任 	薛东兵 	， 川航 集团 副总经理 、 	四川 通用 航空 投资 管理 有限 责任 公司 	董事长 陈斌 参加 调研 

张庆伟	哈药集团	11日 上午 ， 	张庆伟 	到 	哈 药 集团 	就 医药 产业 发展 进行 调研 

宗国英	云南城投集团	6月 初 ， 云南 委 常委 、 常务 副省长 	宗国英 	率队 调研 	云南城 投 集团 	， 讲到 “ 从 省属 企业 看 , 云南 已 启动 实施 了 深化 国企 改革 三 年 行动 方案 , 对 全 省 国有 企业 进行 脱胎换骨 式 的 顶层 设计 和 改革 重组 ， 构建 具有 云南 特色 的 “ 1+1+X ” 省级 国有 资产 监管 和 国有 企业 发展 新 模式 ” 

彭华岗	中铝集团党组	福建 省委 副书记 、 福州 市委 书记 王宁 ， 福建 省委 常委 、 常务 副省长 张志南 ， 国务院 国资委 秘书长 	彭华岗 	， 	中铝 集团 党组 	副书记 、 总经理 余德辉 一同 调研 

北勘公司	杜新鹏	公司 领导 到 石家庄 综合 保税区 标准化 仓库 建设 项目 检查 调研 工作 2018年 4月 25日 ， 	北勘 公司 	副总经理 陆洪根 、 生产 运 营部 主任 王永正 、 科技 质量 与 安全部 副主任 黄彬 、 科技 质量 与 安全部 张春辉 一行 四 人 到 石家庄 综合 保税区 标准化 保税 仓库 建设 项目 一 期 工程 进行 检查 调研 ， 第一 勘察 设计 研究所 副所长 王海渤 及 项目 人员 张晓畅 、 	杜新鹏 	陪同 并 做 详细 讲解 

山东高速集团	邹庆忠	鲁 网 9月 21日 讯 在 近 3 个 月 的 时间 里 ， 	山东 高速 集团 	公开的 	邹庆忠 	调研 目的地 ， 涵盖 高速 服务区 、 济青 高速 扩建 项目 、 高速 收费站 、 旅游 度假 综合体 等 ， 如何 做好 大 交通 主业 ， 成为 这 位 新任 董事长 最 关心 的 事情 

曹海燕	河钢集团党委	2月 21日 ， 由 河北省 国资委 党委 副书记 	曹海燕 	带队 ， 	河钢 集团 党委 	副书记 李炳军 、 河北 建工 集团 党委 副书记 张庆虎 ， 河北省 国资委 党建处 、 改革 改组 处 ， 河北 建 投 集团 有关 人员 组成 的 调研组 来 公司 ， 就 公司 党建 工作 情况 进行 专题 调研 

翁杰明	北新集团建材股份有限公司	3月 28日 ， 国务院 国有 企业 改革 领导 小组 办公室 副主任 、 国务院 国资委 副主任 	翁杰明 	赴 中国 黄金 集团 中金 珠宝 股份 有限 公司 和 	北新 集团 建材 股份 有限 公司 	两 家 “ 双百 企业 ” 进行 调研 ， 先后 参观 了 中国 黄金 旗舰店 、 北 新 建材 未来 建筑 馆 等 ， 并与 有关 企业 进行 了 座谈 交流 

孟华强	中交集团	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 	孟华强 	、 中广 核 办公厅 主任 胡光耀 、 铀业 公司 总经理 安军靖 、 斯科 公司 总经理 蔡于胜 、 	中 交 集团 	副总经理 王海怀 等 一同 参加 调研 和 座谈 

刘丽靓	湘投金天钛金属公司	责任 编辑 ： 李锋 《 湖南 国企 改革 不断 取得 突破 八 项 重点 改革 稳步 推进 》 相关 文章 推荐 三 ： 郝鹏 : 加快 推进 国有 企业 改革 郝鹏 ： 加快 推进 国有 企业 改革 中国 证券 报□ 本报 记者 	刘丽靓 	据 * * * 国资委 26日 消息 ， 近日 ， * * * 国资委 主任 郝鹏 在 湖南省 深入 中 联 重科 、 	湘投金天钛 金属 公司 	等 企业 调研 ， 详细 了解 企业 生产 经营 、 自主 创新 和 推进 改革 情况 ， 并 主持 召开 国有 企业 改革 座谈会 

罗文	长江存储科技有限责任公司	会后 ， 	罗文 	赴 	长江 存储 科技 有限 责任 公司 	调研 ， 听取 了 公司 负责人 关于 3 DNAND 存储 芯片 研发 和 产业化 进展 情况 的 汇报 ， 并 考察 了 生产线 建设 、 运行 情况 

铀业公司	安军靖	国资委 产权 管理局 局长 贾立克 、 国际 合作局 局长 殷长波 、 规划 发展局 副局长 孟华强 、 中广 核 办公厅 主任 胡光耀 、 	铀业 公司 	总经理 	安军靖 	、 斯科 公司 总经理 蔡于胜 、 中 交 集团 副总经理 王海怀 等 一同 参加 调研 和 座谈 

浙能集团	余勤	袁家军在 	浙 能 集团 	调研 时 强调 依靠 改革 开放 创新 做 强 做 优 做大 国企 浙江 在线 杭州 8月 21日 讯 （ 记者 	余勤 	） 21日 ， 省长 袁家军 来到 

张曙光	海瀛集团	困境 之下 ， 时任 园区 副主任 的 	张曙光 	在 经过 长 达 10 个 月 的 深入 调研 之后 ， 向 上级 主管 递交 了 一 份 发起 成立 	海瀛 集团 	并 助力 环保 产业 园 发展 壮大 的 报告 

李炳军	河北建工集团党委	2月 21日 ， 由 河北省 国资委 党委 副书记 曹海燕 带队 ， 河 钢 集团 党委 副书记 	李炳军 	、 	河北 建工 集团 党委 	副书记 张庆虎 ， 河北省 国资委 党建处 、 改革 改组 处 ， 河北 建 投 集团 有关 人员 组成 的 调研组 来 公司 ， 就 公司 党建 工作 情况 进行 专题 调研 

马方元	四川省企业联合会	全国 工商联 副主席 、 四川省 政协 副主席 、 省 工商联 主席 陈放 先生 ， 中国 会展 经济 研究会 会长 袁再清 先生 ， 四川省 国资委 党委 委员 、 副主任 秦明 先生 ， 四川省 知识 产权局 副局长 杨早林 先生 ， 四川省 工商 行政 管理局 商标 分局 局长 周广平 先生 ， 四川省 发展 和 改革 委员会 调研员 张亚敏 女士 ， 四川省 经济 和 信息化 委员会 副 调研员 刘凯 先生 ， 省企联 特邀 副 会长 、 省政协 原 常委 、 省 农业厅 原 常务 副厅长 傅志康 先生 ， 省企联 特邀 副 会长 、 省政府 原 副秘书长 张晋川 先生 ， 省企联 顾问 、 省人大 常委会 法制 工作 委员会 原 主任 杨文 先生 ， 省企联 顾问 、 省 国 安厅 原 常务 副厅长 	马方元 	先生 ， 省企联 顾问 、 省 国资委 原 副主任 李继郁 先生 ， 	四川省 企业 联合会 	、 四川省 企业家 协会 副会长 兼 秘书长 梁勤 先生 ， 四川省 质量 协会 驻 会 副会长 罗召贵 先生 等 领导 及 相关 政府 部门 负责人 出席 大会 

王洋	北京天健中宇恒业工程咨询公司	图 8 ： 现场 损毁 后 的 挖机 图 9 ： 自卸车 正在 运输 燃烧 中 的 煤矸石 图 10 ： 大 粒径 石块 剥离 图 11 ： 机械 坡面 修复 本次 调研 由 住房 和 城乡 建设部 标准 定额 研究所 副研究员 董宇 、 中国 建设 工程 造价 管理 协会 主任 舒宇 、 中国 煤炭 建设 协会 秘书长 单益新 、 煤炭 工业 西安 工程 造价 管理站 副站长 杨振义 、 内蒙古 自治区 建设 工程 标准 定额 总站 站长 庞天 、 定额 科 科长 刘 银龙 、 山西省 工程 建设 标准 定额 站 总 工程师 张莉 、 工程师 	王洋 	、 中国 有色 金属 工业 工程 建设 定额 站 技术 总监 林发 、 乌海市 建设 工程 标准 定额 管理 站站 长白 继 凡 、 副站长 祝少 冬 、 	北京 天健中宇恒业 工程 咨询 公司 	副总经理 沙兵 等 同志 组成 专家 组 ， 对 乌海 矿区 生态 环境 综合 治理 项目 及 矿区 现状 进行 调研 ； 

沈莹	中航工业成飞公司	12月 3日 ， 国务院 国资委 副主任 、 党委 委员 	沈莹 	一行 来川 调研 指导 国资 国企 改革 发展 工作 ， 实地 调研 了 东方 电气 、 	中航 工业 成飞 公司 	等 中央 企业 ， 并 召开 座谈会 听取 了 四川省 国资委 有关 混合 所有制 改革 和 国有 资本 布局 结构 调整 情况 的 工作 汇报 

